dependent_id,employee_id,first_name,last_name,relationship,date_of_birth,gender,dependent_status
DP000000301,EE0000003,Victor,Adams,Spouse,1973-08-29,M,Active
DP000000302,EE0000003,Malik,Adams,Child,2019-06-13,F,Active
DP000000801,EE0000008,Aaliyah,Bennett,Child,2019-09-02,F,Active
DP000001201,EE0000012,Fatima,Johnson,Domestic Partner,2005-03-15,F,Active
DP000001202,EE0000012,Noah,Johnson,Child,2020-09-11,F,Active
DP000001203,EE0000012,Daniel,Johnson,Child,2025-06-20,F,Active
DP000001401,EE0000014,Daniel,Kim,Child,2023-03-01,M,Active
DP000001501,EE0000015,Leah,Bennett,Child,2019-10-22,F,Active
DP000001502,EE0000015,Fatima,Bennett,Child,2024-09-03,F,Active
DP000001701,EE0000017,Michael,Taylor,Child,2025-11-19,M,Active
DP000001702,EE0000017,Aaliyah,Taylor,Child,2022-02-24,F,Active
DP000002001,EE0000020,Victor,Miller,Domestic Partner,2002-07-05,F,Active
DP000002002,EE0000020,Naomi,Miller,Child,2026-05-09,M,Active
DP000002101,EE0000021,Zoe,Smith,Domestic Partner,1962-11-20,M,Active
DP000002102,EE0000021,Michael,Smith,Child,2009-04-13,F,Active
DP000002103,EE0000021,David,Smith,Child,2025-12-26,F,Active
DP000002301,EE0000023,Malik,Adams,Child,2023-01-07,M,Active
DP000002501,EE0000025,Fatima,Williams,Child,2002-11-24,M,Active
DP000002502,EE0000025,Elena,Williams,Child,2015-08-13,F,Active
DP000002503,EE0000025,David,Williams,Child,2005-05-02,F,Active
DP000002901,EE0000029,Ethan,Walker,Child,2022-09-26,F,Active
DP000002902,EE0000029,Victor,Walker,Child,2021-02-18,M,Active
DP000003101,EE0000031,Chiamaka,Taylor,Domestic Partner,1989-05-10,F,Active
DP000003102,EE0000031,Ethan,Taylor,Child,2018-08-20,M,Active
DP000003201,EE0000032,Malik,Williams,Child,2024-11-11,F,Active
DP000003202,EE0000032,Kevin,Williams,Child,2010-12-11,F,Active
DP000003301,EE0000033,Leah,Davis,Spouse,1999-05-06,M,Active
DP000003302,EE0000033,Kevin,Davis,Child,2018-11-02,M,Active
DP000003401,EE0000034,Jordan,Robinson,Spouse,1996-10-13,M,Active
DP000003801,EE0000038,Sophia,Walker,Child,2004-10-15,M,Active
DP000003802,EE0000038,Noah,Walker,Child,2017-03-24,M,Active
DP000003901,EE0000039,Sophia,Nguyen,Spouse,1972-03-23,M,Active
DP000003902,EE0000039,Leah,Nguyen,Child,2023-01-13,M,Active
DP000004101,EE0000041,Zoe,Lewis,Spouse,1965-01-16,F,Active
DP000004102,EE0000041,Olivia,Lewis,Child,2023-04-30,F,Active
DP000004301,EE0000043,Elena,Garcia,Spouse,1991-03-23,F,Active
DP000004302,EE0000043,Priya,Garcia,Child,2023-12-11,F,Active
DP000004701,EE0000047,Ethan,Taylor,Spouse,1966-01-02,M,Active
DP000004702,EE0000047,Daniel,Taylor,Child,2009-01-16,F,Active
DP000004901,EE0000049,Leah,Davis,Domestic Partner,1985-10-12,F,Active
DP000004902,EE0000049,Luis,Davis,Child,2025-08-21,F,Active
DP000005001,EE0000050,Samuel,Campbell,Domestic Partner,1989-12-16,M,Active
DP000005002,EE0000050,Kevin,Campbell,Child,2008-12-09,F,Active
DP000005003,EE0000050,Noah,Campbell,Child,2013-04-05,M,Active
DP000005101,EE0000051,Malik,Garcia,Child,2025-01-10,M,Active
DP000005301,EE0000053,Amara,Kim,Child,2024-03-31,M,Active
DP000005901,EE0000059,Priya,Mensah,Domestic Partner,1987-07-11,F,Active
DP000005902,EE0000059,Sophia,Mensah,Child,2024-11-28,F,Active
DP000006001,EE0000060,Maya,Kim,Domestic Partner,1967-06-15,F,Active
DP000006002,EE0000060,Fatima,Kim,Child,2019-12-07,F,Active
DP000006003,EE0000060,Kevin,Kim,Child,2011-12-29,F,Active
DP000006101,EE0000061,Carlos,Robinson,Child,2015-07-28,M,Active
DP000006201,EE0000062,Maya,Williams,Spouse,2001-08-20,M,Active
DP000006301,EE0000063,Carlos,Walker,Spouse,1983-07-30,M,Active
DP000006302,EE0000063,Michael,Walker,Child,2017-07-29,M,Active
DP000006501,EE0000065,Malik,Ibrahim,Child,2024-11-30,M,Active
DP000007001,EE0000070,Jasmine,Ibrahim,Spouse,2005-08-20,M,Active
DP000007002,EE0000070,Priya,Ibrahim,Child,2024-01-03,M,Active
DP000007201,EE0000072,Isaiah,Patel,Domestic Partner,1994-06-22,F,Active
DP000007301,EE0000073,Amara,Williams,Child,2006-05-02,F,Active
DP000007302,EE0000073,Grace,Williams,Child,2001-03-30,M,Active
DP000007501,EE0000075,Elena,Adeyemi,Spouse,2005-04-27,M,Active
DP000007701,EE0000077,Naomi,Garcia,Domestic Partner,1965-02-28,M,Active
DP000007901,EE0000079,Fatima,Wilson,Domestic Partner,1969-12-19,F,Active
DP000007902,EE0000079,Zoe,Wilson,Child,2010-04-03,M,Active
DP000008101,EE0000081,Grace,Adams,Spouse,1975-03-23,F,Active
DP000008401,EE0000084,Malik,Adams,Child,2009-11-24,F,Active
DP000008402,EE0000084,Olivia,Adams,Child,2012-08-08,F,Active
DP000008501,EE0000085,Isaiah,Martinez,Domestic Partner,1985-10-23,F,Active
DP000008801,EE0000088,Aaliyah,Ibrahim,Spouse,1999-07-02,M,Active
DP000008802,EE0000088,Angela,Ibrahim,Child,2023-01-03,F,Active
DP000008901,EE0000089,Maya,Chen,Domestic Partner,1996-04-09,M,Active
DP000008902,EE0000089,Andre,Chen,Child,2022-04-17,M,Active
DP000009001,EE0000090,Maya,Miller,Spouse,2001-08-08,F,Active
DP000009002,EE0000090,Michael,Miller,Child,2013-09-07,M,Active
DP000009003,EE0000090,Ethan,Miller,Child,2021-05-14,F,Active
DP000009201,EE0000092,Daniel,Ibrahim,Domestic Partner,2007-02-14,M,Active
DP000009301,EE0000093,Angela,Lewis,Spouse,1989-02-11,M,Active
DP000009302,EE0000093,Zoe,Lewis,Child,2014-12-20,M,Active
DP000009501,EE0000095,David,Martinez,Child,2016-04-04,F,Active
DP000009601,EE0000096,Daniel,Miller,Child,2010-06-25,M,Active
DP000009602,EE0000096,David,Miller,Child,2005-02-11,F,Active
DP000009801,EE0000098,Luis,Miller,Spouse,1977-07-13,M,Active
DP000010001,EE0000100,Nia,Kim,Spouse,1974-04-27,M,Active
DP000010601,EE0000106,Chiamaka,Ibrahim,Spouse,1984-03-12,M,Active
DP000011001,EE0000110,Priya,Wilson,Spouse,1975-03-01,M,Active
DP000011201,EE0000112,Andre,Bennett,Domestic Partner,1975-10-11,F,Active
DP000011701,EE0000117,Samuel,Ibrahim,Child,2018-04-04,M,Active
DP000011702,EE0000117,Victor,Ibrahim,Child,2019-01-29,M,Active
DP000011703,EE0000117,Leah,Ibrahim,Child,2018-10-21,M,Active
DP000011901,EE0000119,Angela,Ibrahim,Spouse,1979-09-10,M,Active
DP000011902,EE0000119,Elena,Ibrahim,Child,2011-09-16,M,Active
DP000011903,EE0000119,Sophia,Ibrahim,Child,2008-09-23,M,Active
DP000012101,EE0000121,Andre,Walker,Domestic Partner,1966-08-03,F,Active
DP000012102,EE0000121,Leah,Walker,Child,2012-08-02,F,Active
DP000012103,EE0000121,Elena,Walker,Child,2025-06-20,M,Active
DP000012201,EE0000122,Olivia,Taylor,Domestic Partner,1976-03-11,M,Active
DP000012301,EE0000123,Naomi,Nguyen,Child,2013-05-20,F,Active
DP000012302,EE0000123,Andre,Nguyen,Child,2017-11-11,M,Active
DP000012303,EE0000123,Grace,Nguyen,Child,2006-09-02,F,Active
DP000012501,EE0000125,Jordan,Chen,Spouse,1963-09-10,F,Active
DP000012601,EE0000126,Samuel,Davis,Child,2018-02-11,M,Active
DP000012602,EE0000126,Olivia,Davis,Child,2024-04-07,M,Active
DP000013301,EE0000133,Carlos,Taylor,Child,2024-03-31,M,Active
DP000013401,EE0000134,Andre,Okafor,Domestic Partner,1968-07-24,F,Active
DP000013701,EE0000137,Malik,Adeyemi,Spouse,1964-01-27,M,Active
DP000013801,EE0000138,Grace,Taylor,Domestic Partner,1965-11-13,F,Active
DP000013802,EE0000138,Angela,Taylor,Child,2019-09-13,M,Active
DP000013901,EE0000139,Naomi,Garcia,Domestic Partner,2007-05-23,F,Active
DP000014001,EE0000140,Michael,Bennett,Child,2025-12-12,F,Active
DP000014002,EE0000140,Amara,Bennett,Child,2026-06-23,F,Active
DP000014101,EE0000141,Naomi,Nguyen,Child,2023-05-31,F,Active
DP000014102,EE0000141,Fatima,Nguyen,Child,2019-09-29,F,Active
DP000014201,EE0000142,Isaiah,Mensah,Child,2006-03-17,M,Active
DP000014401,EE0000144,Maya,Garcia,Domestic Partner,1990-02-17,M,Active
DP000014501,EE0000145,Maya,Moore,Child,2017-08-13,M,Active
DP000014502,EE0000145,Jordan,Moore,Child,2011-05-07,F,Active
DP000014601,EE0000146,Zoe,Patel,Child,2014-04-15,F,Active
DP000014602,EE0000146,Daniel,Patel,Child,2005-08-03,F,Active
DP000014801,EE0000148,Jordan,Patel,Spouse,1975-08-31,M,Active
DP000014802,EE0000148,Noah,Patel,Child,2011-10-23,M,Active
DP000015101,EE0000151,Maya,Nguyen,Child,2019-12-07,M,Active
DP000015201,EE0000152,Noah,Adeyemi,Spouse,1976-07-06,F,Active
DP000015401,EE0000154,Naomi,Garcia,Child,2005-09-08,F,Active
DP000015402,EE0000154,Michael,Garcia,Child,2020-04-18,M,Active
DP000015501,EE0000155,Aaliyah,Johnson,Domestic Partner,1979-12-08,F,Active
DP000015601,EE0000156,Isaiah,Smith,Spouse,1964-12-13,F,Active
DP000015901,EE0000159,Grace,Davis,Child,2021-01-19,F,Active
DP000016201,EE0000162,Nia,Campbell,Child,2002-03-03,F,Active
DP000016202,EE0000162,David,Campbell,Child,2017-06-03,M,Active
DP000016301,EE0000163,Elena,Walker,Child,2013-08-14,M,Active
DP000016701,EE0000167,Samuel,Taylor,Child,2021-02-16,F,Active
DP000016702,EE0000167,Malik,Taylor,Child,2022-07-13,F,Active
DP000016901,EE0000169,Noah,Hernandez,Child,2013-03-14,M,Active
DP000017001,EE0000170,Olivia,Walker,Child,2018-05-01,M,Active
DP000017002,EE0000170,Victor,Walker,Child,2025-10-21,M,Active
DP000017003,EE0000170,Jordan,Walker,Child,2017-05-18,M,Active
DP000017501,EE0000175,Luis,Wilson,Child,2017-07-20,M,Active
DP000017502,EE0000175,Omar,Wilson,Child,2012-05-23,M,Active
DP000017701,EE0000177,Victor,Thomas,Child,2012-05-27,M,Active
DP000017801,EE0000178,Jasmine,Adeyemi,Child,2021-05-14,F,Active
DP000017901,EE0000179,Ethan,Chen,Child,2017-02-21,F,Active
DP000017902,EE0000179,Aaliyah,Chen,Child,2015-08-23,M,Active
